CompanyName,Phone,Address,City,PostalCode,CompanyType,Comments
Board of Education of School District No. 36,, 92 Ave,Surrey BC,,2,
"0723137 BC Ltd,",,,,,2,
1027818 BC Ltd.,,,,,2,
1156881 BC Ltd.,,,,,2,
1327 Marine Drive Limited Partnership,604-655-5113,350 Esplanade East,North Vancouver (City) BC,V7L1A4,2,
3423 Hastings Ltd.,,376 West 20th Avenue,Vancouver BC,V5Y 2C6,2,
1111517 BC Ltd.,,393 West 44th Avenue,Vancouver BC,V5Y2V7,2,
1193344 BC Ltd.,,8140 128th Street,Surrey BC,,2,
51561 BC Ltd,,470 Grandville Street,Vancouver BC,V6C1V5,2,
66418 BC Ltd / Protec Dental Lab Ltd.,604-873-8000,38 East 1st Avenue,Vancouver BC,V5T1A1,2,
0675271 BC Ltd.,,33119 South Fraser Way,Abbotsford BC,V2S2B1,0,
0693610 BC Ltd.,,33119 South Fraser Way,Abbotsford BC,V2S2B1,0,
0699316 B.C. Ltd.,,22611 Westminster Highway,Richmond BC,,2,
0709827 B.C. Ltd.,,24595 McClure Drive,Maple Ridge BC,V2W2G2,2,
0719523 BC Ltd.,778-571-2111,5620 152 St,Surrey BC,V3S3K2,2,"update 07-20-07, 05.22.08"
0731901 BC Ltd.,604-868-6445,4027 W 36 Ave,Vancouver BC,V6N2T1,2,updated 10-17-07
0732095 BC Ltd.,604-795-2125,4386 Progress Way,Chilliwack BC,V2R0E6,2,address on Progress Way Effective Jan 1 2012
0732095 BC Ltd.,,33119 South Fraser Way,Abbotsford BC,V2S2B1,0,
0733014 BC LTD.,,190 Short Road,Abbotsford BC,V2S8A7,2,
0736669 BC Ltd,250-809-5225,801 Comox St,Penticton BC,V2A8G5,2,updated 10-17-07
0727458 BC Ltd & 0754566 BC Ltd,778-889-7496,13027 68 Ave,Surrey BC,V3W2E5,2,replaces Elegant Dev Ltd.
073983 BC Ltd.,, Box 685,Aldergrove BC,V4W2V1,2,contact numbers see Larry Orwick
0742962 BC Ltd.,604-648-2273,220 Cambie Street,Vancouver BC,V6B2M9,0,
0746492 BC Ltd.,604-852-1884,2582 Mt. Lehman Road,Abbotsford BC,V4X2N3,0,
0755572 B.C. Ltd.,604-892-6373,38140 Clevland Avenue,Squamish BC,V0N3G0,2,
0761036 BC LTD,604-338-4656,3571 Barmond Avenue,Richmond BC,V7E1A4,2,
0768807 B.C. Ltd.,,,,,2,
0770602 B.C. Ltd. c/o Barnett Dembek Architects Inc.,604-597-7100,12448 82nd Avenue,Surrey BC,V3W3E9,2,
077797 B.C. Ltd.,,7568 Heather Street,Vancouver BC,,2,
0777975 BC Ltd.,,4027 Brisbane Court,Abbotsford BC,V4X2X6,0,
0788287 B.C. Ltd. c/o Janet Falk - Kinder Sidhu & Associates Inc.,604-870-1141,2359 Clearbrook Rd,Abbotsford BC,V2T2X6,2,
0789596 B.C. Ltd.,604-276-8823,13575 Commerce Parkway,Richmond BC,V6V2L1,2,
079718 B.C. Ltd.,604-327-6834,120 Ontario Place,Vancouver BC,V3W1S2,2,
0822661 BC Ltd.,604-507-8201,16088 84th Avenue,Surrey BC,V4N0V9,2,
0827720 BC Ltd.,604-760-5999,7591 Barkerville Crt.,Richmond BC,V7A1K8,2,
0829526 B.C. Ltd.,,,,,2,
0842115 BC Ltd.,604-719-1374,6150 Pearl Avenue,Burnaby BC,,2,
084604 BC Ltd. c/o Mr. Jean Farer,,922 Marnac Avenue,Coquitlam BC,V3J4V9,2,
0855817 BC Ltd. & 0855818 BC Ltd.,604-599-1413,12876 85th Avenue,Surrey BC,V3W0K8,2,
0861349BC Ltd.  c/o Mainland Engineering 2007 Corp.,604-543-8044,8363 128th Street,Surrey BC,V3W4G1,2,
0886967 B.C. Ltd.,604-773-3136,8380 Lansdowne Road,Richmond BC,V7E1N2,2,
0891551 BC Ltd.,,24595 McClure Drive,Maple Ridge BC,V2W2G2,2,
0910984B.C. Ltd.,,,,,2,
0914344 BC Ltd.,,,,,2,
0938888 BC Ltd.,,,,,2,
1013343 B.C. Ltd.,,4272 Albert Street,Burnaby BC,V5C2E8,2,
1046876 BC LTD.,,,,,2,
1092358 BC Ltd.,778-919-9226,6560 Williams Road,Richmond BC,V7E1K5,2,
1115999 Alberta Inc.,403-880-4878," Box 177, DeWinton",,T0L0X0,2,
1118363 BC Ltd.,,,,,2,
1135551 B.C. Ltd.,778-835-8182,7280 Bates Road,Richmond BC,V7A1C7,2,
113711 BC Ltd.,604-807-0840,14058 82nd Avenue,Surrey BC,V3W1M8,2,
1115646 BC Ltd.,,,,,2,
1133600 BC Ltd.,,,,,2,
161884 Canada Inc.,,885 West georgia Street,Vancouver BC,V6C3H1,2,
167799 Holdings Ltd.,604-780-6900,2215 169th Street,Surrey BC,V3S9Z3,2,
359664 BC Ltd.,604-278-8380,8833 Odlin Crescent,Richmond BC,V6X3Z7,0,
420543 B.C. Ltd. (Summerwood),,17665 66A Avenue,Surrey BC,V3W 2A7,2,
426007 BC Ltd. c/o 1 Element,604-761-5418,1656 West 8th Avenue,Vancouver BC,V5S4C6,0,
428856 BC Ltd.,,630 Riverside Avenue,Sicamous BC,V0E2V0,2,
461885 BC Ltd.,604-809-7230,2958 W 4th Ave,Vancouver BC,V6K1R2,2,
466558 B.C. Ltd.,250-260-8454,3708 Commonage Place,Vernon BC,V1T8M5,2,
475189 BC Ltd.,,1030 West Georgia Street,Vancouver BC,,2,
477962 BC Ltd.,,7795 128th Street,Surrey BC,V3W4E6,0,
494743 BC Ltd.,,2755 Lougheed Highway,Port Coquitlam BC,V3B5Y9,2,
522032 BC Ltd.,,6108 Fraser Street,Vancouver BC,V5W3A1,2,
538454 BC Ltd.,604-825-3623,12491 90A Street,Surrey BC,V3V1C3,2,
550380 B.C. Ltd. c/o Georgia View Home Builders Ltd.,250-616-4933,3040 Meadow Drive,Nanaimo BC,V9R7C6,2,
569076 B.C. Ltd.,,3538 West 4th Ave.,Vancouver BC,V6R 1N8,2,c/o Eddie Yen
614871 B.C. Ltd.,,,,,2,
623534 BC Ltd. (Ashley Court),604-850-9680,33119 South Fraser Way,Abbotsford BC,V2S2B1,2,
624047 BC Ltd.,604-582-8500,13070 115 Ave,,V3R2T9,0,
629516 BC Ltd,,9341 Burns Drive,Delta BC,V4K3N3,0,
635297 BC Ltd,,,,,2,
655375 B.C. Ltd.,604-291-8122,4278 Lougheed Highway,Burnaby BC,V5C 3Y5,2,
661523 BC Ltd.,,3471 Short Street,Victoria BC,V8X2V6,2,
664525 BC Ltd.,604-271-6296,11020 No. 5 Road,Richmond BC,V7A4E7,2,corrected 09-20-07
673008 BC Ltd. c/o Daljit Thind,,5512 Portland Street,Burnaby BC,V5J2R4,0,
675106 B.C. Ltd.,,6531 Whiteoak Drive,Richmond BC,V7E 4Z7,2,
677401 BC Ltd.,,8015 Dominion Place,Surrey BC,V3W6B2,2,updated 10-18-07
679484 BC Ltd.,604-729-9754,7064 Sierra Drive,Port Coquitlam BC,V5A1A5,2,
680067 BC Ltd.,,8029 Fraser Street,Vancouver BC,V5X3X5,2,
681305 BC Ltd.,,,,,2,
681514 B.C. Ltd.,,15350 34th Avenue,Surrey BC,V3S 0X7,2,c/o VC Management Ltd.
684208 B.C. Ltd. c/o Jakin Eng. & Const. Ltd.,,3571 Jacombs Road,Richmond BC,V6V2R4,2,
686535 BC Ltd.,,12837 76th Avenue,Surrey BC,V3W2V3,0,
689940 BC Ltd.,604-910-0118,16341 60th Avenue,Surrey BC,,2,
0691976 BC Ltd.,604-270-0670,6660 No. 6 Road,Richmond BC,V6W1C8,2,
692250 BC Ltd.,,,,,0,
