ProjectNumber,ProjectName,Address,Apt,City,ClientName,ClientContact,ClientToBill,Architect,ArchitectContact,ProjectManager,FieldInspector,RoofingInspector,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComments,MaintenanceManualsFee,EnvelopInspectionsFee,EnvelopInspectionsComments,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComments,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComment,MaintenanceManualsFee,EnvelopeInspectionsFee,EnvelopeInspectionsComment,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComment,FollowUpInspectionFee,5YearInspectionFee,Year1-3-4InsFee,Year2-5InsFee,PerInspectionFee,MiscellaneousFee,MiscellaneousComment,Completed,CompletedDate,RCABC
10183,Northern Way Housing Co-Op (now Restoration file #9815),675 East 5th Ave,,Vancouver BC,BC Housing,,BC Housing,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
11041,Plaza Del Mar B/E Survey (Report Submitted June 2011),1575 Beach Ave,,Vancouver BC,Jane Bern,,Jane Bern,,,,Dane Peterson,,0,2500,,0,2500,,1000,0,1800,3500,,0,2500,,0,2500,,1000,0,1800,3500,,0,0,0,0,300,0,,FALSE,0,FALSE
11061,Whitewood Apartments Phase 2  ON HOLD,1330 Whitewood Cres,,Sparwood BC,Noort Homes Ltd.,Glen Noort,Noort Homes Ltd.,CBA Architecture Corp.,Conrad Boucher,,Mike Mountain,,900,0,,0,9000,,0,600,0,8900,,900,0,,0,9000,,0,600,0,8900,,0,0,0,0,1500,0,,FALSE,0,FALSE
11075,One92 (LINKED FILE 18069),19202 66A Avenue,,Surrey BC,Lakewood Group Developments Ltd.,,Lakewood Group Developments Ltd.,Barnett Dembek Architects Inc. (BDA),Terry Cunningham,,Scott Stebbings,Brent Rowland,2700,0,,1500,16200,,3000,1800,7200,8900,,2700,0,,1500,16200,,3000,1800,7200,8900,,0,0,1400,1700,300,0,,FALSE,0,FALSE
12000,Year Rollover2,,,#N/A,,#N/A,,,#N/A,,#N/A,,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,,FALSE,0,FALSE
12044,Sparwood Townhomes PR Only Mar 2012,,,Sparwood BC,Noort Homes Ltd.,Glen Noort,Noort Homes Ltd.,CBA Architecture Corp.,Conrad Boucher,,Mike Mountain,,900,0,,1500,12000,,0,1500,0,8900,,900,0,,1500,12000,,0,1500,0,8900,,0,0,1750,2100,1500,0,,FALSE,0,FALSE
12073,Crofton House School Roofing Assessment & Annual Reviews,5707 Balaclava Street,,Vancouver BC,,,,,,,,Todd McDonald,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,TRUE
12101,Single Family last inspection Sep 2014,791 Eyremount Drive,,West Vancouver BC,,,,Andrew Cheung Architects Inc.,Francis Yau,,Mike Mountain,Dwayne Arnold,1200,0,,0,4200,,900,600,1500,8900,,1200,0,,0,4200,,900,600,1500,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
12123,Alder Vista,6333 Alder Street,,Richmond BC,Takahiro Holdings Ltd.,,Townline Group of Companies,Yamamoto Architecture Inc.,Yoshi Mikamo,,Don Hauser,Dwayne Arnold,1200,0,,1500,7200,,0,600,3600,8900,,1200,0,,1500,7200,,0,600,3600,8900,,0,0,1500,1800,300,0,,FALSE,0,FALSE
13000,database increment,,,#N/A,,#N/A,,,#N/A,,#N/A,,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,300,0,,FALSE,0,FALSE
13012,Seafarer Marina Estates- Depreciation Report,4803-4815 48th Avenue,,Delta BC,The Wynford Group,,The Wynford Group,,,,Aaron MacLellan,,0,0,,0,7650,,0,0,0,8900,,0,0,,0,7650,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13017,11th and Main,191 East 11th Avenue,,Vancouver BC,Canway Management Systems Inc.,,Canway Management Systems Inc.,Ankenman Associates Architects Inc.,,,Mike Mountain,Todd McDonald,1800,0,,1500,7200,,0,600,2400,8900,,1800,0,,1500,7200,,0,600,2400,8900,,0,0,1800,2200,300,0,,FALSE,0,FALSE
13018,Rosemary Heights Seniors Village- Underground and Indep Living,15240 34th Avenue,,Surrey BC,Retirement Concepts Developments Ltd.,Ranjit Sidhu,Retirement Concepts Developments Ltd.,CEI Architecture,,,Scott Stebbings,Brent Rowland,2400,0,,0,7200,,0,1200,3600,8900,,2400,0,,0,7200,,0,1200,3600,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13023,71 East Hastings,71 East Hastings Street,,Vancouver BC,Living Balance Investment Group,,Living Balance Investment Group,Douglas R. Johnson Architect Ltd.,Douglas Johnson,,Dane Peterson,Todd McDonald,1800,0,,1500,6000,,0,600,1500,8900,,1800,0,,1500,6000,,0,600,1500,8900,,0,0,1700,200,300,0,,FALSE,0,FALSE
13024,Ocean Park Grove- Crawl Space Inspection,12901-12985 17 Avenue,,Surrey BC,NW 2502,Tom Cragg,NW 2502,,,,Scott Stebbings,,0,0,,0,8950,,0,0,0,8900,,0,0,,0,8950,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13027,605/695 SE Marine Drive BE Assessment,605-695 SE Marine Drive,,Vancouver BC,Porte Central Surrey Limited Partnership,David Porte,Porte Central Surrey Limited Partnership,,,,Aaron MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
